period;cmd;tot_nb_nodes;nb_main_exp;nb_main_imp;nb_balanced;tot_net_wgt;tot_primary_value;src_main_exp_net_wgt;src_main_exp_primary_value;src_main_imp_net_wgt;src_main_imp_primary_value;src_balanced_net_wgt;src_balanced_primary_value;tgt_main_exp_net_wgt;tgt_main_exp_primary_value;tgt_main_imp_net_wgt;tgt_main_imp_primary_value;tgt_balanced_net_wgt;tgt_balanced_primary_value
2000;07;225;22;142;61;27430783813.0425;14724593600.420006;12495990614.5315;8005403743.823498;1568807424.4374998;1027201487.2989994;13365985774.0735;5691988369.2975;1101597463.459;607886308.174;13887788162.001501;8412055540.118995;12441398187.582;5704651752.127003
2001;07;220;21;144;55;28642191832.168503;14351964816.4075;12305061910.969;7221699222.976002;1426343964.6485;907493513.9215001;14910785956.551;6222772079.509993;820202836.3740001;529698650.567;15343767688.7405;8435090837.093001;12478221307.053995;5387175328.747495
2002;07;226;24;145;57;33659859150.760487;16063305744.531506;13829258256.018;7692204537.376507;1735542390.9450002;943202524.3109998;18095058503.797497;7427898682.844006;1321723774.3275;676854569.2409997;18366890621.72499;9506181587.2435;13971244754.707996;5880269588.047005
2003;07;223;25;140;58;37909373027.15349;19231209619.9945;16906398775.765999;9026017443.635506;1837312860.2245007;1001008191.3815;19165661391.16299;9204183984.977505;1487814934.0185;756964018.1600003;21366563588.098;11241797117.813507;15054994505.036995;7232448484.020992
2004;07;226;21;144;61;45690895321.6295;24760674574.16503;18676605687.905;11217551327.510494;3892275412.0524993;1257882727.941;23122014221.672;12285240518.713503;1717495820.5944998;952422845.7229997;27163299226.263496;14918052482.966484;16810100274.7715;8890199245.4755
2005;07;220;23;136;61;46882050715.393524;26419308907.21397;18685386006.071503;11149206376.464006;1972335680.5755;1175882761.8855004;26224329028.746494;14094219768.864521;1827094284.8815;1027033836.8509997;26266562665.72999;15262010353.216011;18788393764.781998;10130264717.147005
2006;07;226;23;142;61;48721249566.439514;28405154975.07804;23371196830.687;14252752593.161999;2211767293.4795;1395323702.9504998;23138285442.272976;12757078678.96551;3590254191.769499;1864685235.4514995;25979351302.045;15648191960.022507;19151644072.624985;10892277779.603996
2007;07;224;17;147;60;30168689573.272003;27908873589.4755;8875327531.823002;9550723915.786997;1119729185.3869998;1388716263.0764992;20173632856.061996;16969433410.612003;1594167271.9119997;969979344.6264998;13227167546.251001;13411080620.814499;15347354755.109001;13527813624.034508
2008;07;225;13;150;62;39927740838.17454;28572470725.48595;12401382351.812498;9590789420.810493;2344437154.599002;1701000317.392499;25181921331.76301;17280680987.283012;1670301192.7340004;1013544660.4534999;18675159679.55551;13023288005.904995;19582279965.884995;14535638059.127516
2009;07;222;17;140;65;48285433013.3695;21585524133.79195;26166973757.281;7567783563.736004;1502825320.4185002;1199955716.2490003;20615633935.670002;12817784853.806978;1492396959.9485;741520274.6975001;31291563624.825;10433185148.305992;15501472428.595993;10410818710.78851
