period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
2011;07;net_wgt;27855846847.190998;26652609485.051;0.1300024651486686;0.06759941012636204;2.514385611983544;3.3414871077531307
2012;07;net_wgt;30402349705.825;27299218151.468;0.12891662873019638;0.06628836210471473;2.523489946604317;3.355979730061044
2013;07;net_wgt;32189251194.583;29646744738.727;0.12119649150703173;0.06520040019244498;2.5554659244466964;3.4246863522637216
2014;07;net_wgt;33204114078.352;29151118858.498;0.12227244618686432;0.07305560294499161;2.5603396770500533;3.4047201509835223
2015;07;net_wgt;30438471648.914;30456569966.796;0.12478526960005383;0.07957614918876255;2.56751300229776;3.3501176030758093
2016;07;net_wgt;32375647945.766;32513367734.633;0.1120000505584367;0.09165888839487792;2.607353435889613;3.2808896748390373
2017;07;net_wgt;39144345072.55;33908241717.322;0.10383687775816101;0.07372359036280765;2.6535633556046245;3.417798192719297
2018;07;net_wgt;96316283870.024;37962439461.841;0.36057963725807957;0.07568564331917409;1.7739573354761318;3.411113932217803
2019;07;net_wgt;44348744874.803;51702927880.78;0.08923456669383945;0.1310559104779908;2.7256465586541228;2.9919710232373826
2020;07;net_wgt;41002937534.367;39186881207.569;0.08745136974607744;0.07953813944102893;2.7557112682768476;3.336479663763314
2021;07;net_wgt;46155310241.149;82218190395.96999;0.09456108804336993;0.20591726910271332;2.7505430419897046;2.5718574905364386
2022;07;net_wgt;37885121397.534996;39245710719.616;0.09741577235435935;0.09160208673192645;2.7601946563274713;3.3075158326788934
2023;07;net_wgt;35044691340.437996;32862079724.495;0.11463714983858106;0.08074373003431877;2.6014459033118214;3.358995226437515
